"MTU (CET)","Day-ahead Price [EUR/MWh]","BZN|NL"
"01.01.2016 00:00 - 01.01.2016 01:00","23.86"
"01.01.2016 01:00 - 01.01.2016 02:00","22.39"
"01.01.2016 02:00 - 01.01.2016 03:00","20.59"
"01.01.2016 03:00 - 01.01.2016 04:00","16.81"
"01.01.2016 04:00 - 01.01.2016 05:00","17.41"
"01.01.2016 05:00 - 01.01.2016 06:00","17.02"
"01.01.2016 06:00 - 01.01.2016 07:00","15.86"
"01.01.2016 07:00 - 01.01.2016 08:00","18.16"
"01.01.2016 08:00 - 01.01.2016 09:00","17.73"
"01.01.2016 09:00 - 01.01.2016 10:00","19.77"
"01.01.2016 10:00 - 01.01.2016 11:00","23.75"
"01.01.2016 11:00 - 01.01.2016 12:00","26.03"
"01.01.2016 12:00 - 01.01.2016 13:00","27.06"
"01.01.2016 13:00 - 01.01.2016 14:00","26.59"
"01.01.2016 14:00 - 01.01.2016 15:00","25.00"
"01.01.2016 15:00 - 01.01.2016 16:00","27.04"
"01.01.2016 16:00 - 01.01.2016 17:00","34.46"
"01.01.2016 17:00 - 01.01.2016 18:00","45.14"
"01.01.2016 18:00 - 01.01.2016 19:00","40.00"
"01.01.2016 19:00 - 01.01.2016 20:00","35.34"
"01.01.2016 20:00 - 01.01.2016 21:00","33.07"
"01.01.2016 21:00 - 01.01.2016 22:00","29.52"
"01.01.2016 22:00 - 01.01.2016 23:00","30.10"
"01.01.2016 23:00 - 02.01.2016 00:00","24.57"
"02.01.2016 00:00 - 02.01.2016 01:00","22.20"
"02.01.2016 01:00 - 02.01.2016 02:00","16.57"
"02.01.2016 02:00 - 02.01.2016 03:00","15.35"
"02.01.2016 03:00 - 02.01.2016 04:00","12.77"
"02.01.2016 04:00 - 02.01.2016 05:00","11.27"
"02.01.2016 05:00 - 02.01.2016 06:00","11.91"
"02.01.2016 06:00 - 02.01.2016 07:00","12.62"
"02.01.2016 07:00 - 02.01.2016 08:00","15.27"
"02.01.2016 08:00 - 02.01.2016 09:00","22.34"
"02.01.2016 09:00 - 02.01.2016 10:00","27.44"
"02.01.2016 10:00 - 02.01.2016 11:00","37.00"
"02.01.2016 11:00 - 02.01.2016 12:00","38.00"
"02.01.2016 12:00 - 02.01.2016 13:00","46.68"
"02.01.2016 13:00 - 02.01.2016 14:00","42.44"
"02.01.2016 14:00 - 02.01.2016 15:00","34.94"
"02.01.2016 15:00 - 02.01.2016 16:00","29.00"
"02.01.2016 16:00 - 02.01.2016 17:00","32.00"
"02.01.2016 17:00 - 02.01.2016 18:00","45.00"
"02.01.2016 18:00 - 02.01.2016 19:00","44.65"
"02.01.2016 19:00 - 02.01.2016 20:00","39.00"
"02.01.2016 20:00 - 02.01.2016 21:00","35.00"
"02.01.2016 21:00 - 02.01.2016 22:00","27.54"
"02.01.2016 22:00 - 02.01.2016 23:00","32.18"
"02.01.2016 23:00 - 03.01.2016 00:00","30.12"
"03.01.2016 00:00 - 03.01.2016 01:00","21.39"
"03.01.2016 01:00 - 03.01.2016 02:00","18.91"
"03.01.2016 02:00 - 03.01.2016 03:00","19.07"
"03.01.2016 03:00 - 03.01.2016 04:00","16.10"
"03.01.2016 04:00 - 03.01.2016 05:00","13.97"
"03.01.2016 05:00 - 03.01.2016 06:00","15.37"
"03.01.2016 06:00 - 03.01.2016 07:00","15.47"
"03.01.2016 07:00 - 03.01.2016 08:00","16.04"
"03.01.2016 08:00 - 03.01.2016 09:00","18.44"
"03.01.2016 09:00 - 03.01.2016 10:00","23.10"
"03.01.2016 10:00 - 03.01.2016 11:00","32.44"
"03.01.2016 11:00 - 03.01.2016 12:00","34.11"
"03.01.2016 12:00 - 03.01.2016 13:00","33.79"
"03.01.2016 13:00 - 03.01.2016 14:00","41.31"
"03.01.2016 14:00 - 03.01.2016 15:00","26.18"
"03.01.2016 15:00 - 03.01.2016 16:00","23.34"
"03.01.2016 16:00 - 03.01.2016 17:00","21.68"
"03.01.2016 17:00 - 03.01.2016 18:00","24.94"
"03.01.2016 18:00 - 03.01.2016 19:00","26.76"
"03.01.2016 19:00 - 03.01.2016 20:00","28.00"
"03.01.2016 20:00 - 03.01.2016 21:00","25.33"
"03.01.2016 21:00 - 03.01.2016 22:00","22.11"
"03.01.2016 22:00 - 03.01.2016 23:00","29.94"
"03.01.2016 23:00 - 04.01.2016 00:00","23.10"
"04.01.2016 00:00 - 04.01.2016 01:00","13.78"
"04.01.2016 01:00 - 04.01.2016 02:00","15.09"
"04.01.2016 02:00 - 04.01.2016 03:00","14.94"
"04.01.2016 03:00 - 04.01.2016 04:00","15.06"
"04.01.2016 04:00 - 04.01.2016 05:00","16.39"
"04.01.2016 05:00 - 04.01.2016 06:00","16.43"
"04.01.2016 06:00 - 04.01.2016 07:00","22.99"
"04.01.2016 07:00 - 04.01.2016 08:00","41.79"
"04.01.2016 08:00 - 04.01.2016 09:00","42.69"
"04.01.2016 09:00 - 04.01.2016 10:00","33.46"
"04.01.2016 10:00 - 04.01.2016 11:00","33.24"
"04.01.2016 11:00 - 04.01.2016 12:00","35.09"
"04.01.2016 12:00 - 04.01.2016 13:00","35.00"
"04.01.2016 13:00 - 04.01.2016 14:00","35.00"
"04.01.2016 14:00 - 04.01.2016 15:00","34.94"
"04.01.2016 15:00 - 04.01.2016 16:00","34.92"
"04.01.2016 16:00 - 04.01.2016 17:00","38.00"
"04.01.2016 17:00 - 04.01.2016 18:00","41.21"
"04.01.2016 18:00 - 04.01.2016 19:00","42.95"
"04.01.2016 19:00 - 04.01.2016 20:00","41.96"
"04.01.2016 20:00 - 04.01.2016 21:00","34.94"
"04.01.2016 21:00 - 04.01.2016 22:00","30.66"
"04.01.2016 22:00 - 04.01.2016 23:00","30.00"
"04.01.2016 23:00 - 05.01.2016 00:00","23.90"
"05.01.2016 00:00 - 05.01.2016 01:00","25.03"
"05.01.2016 01:00 - 05.01.2016 02:00","24.42"
"05.01.2016 02:00 - 05.01.2016 03:00","22.34"
"05.01.2016 03:00 - 05.01.2016 04:00","21.50"
"05.01.2016 04:00 - 05.01.2016 05:00","20.00"
"05.01.2016 05:00 - 05.01.2016 06:00","23.53"
"05.01.2016 06:00 - 05.01.2016 07:00","28.96"
"05.01.2016 07:00 - 05.01.2016 08:00","38.32"
"05.01.2016 08:00 - 05.01.2016 09:00","41.45"
"05.01.2016 09:00 - 05.01.2016 10:00","40.72"
"05.01.2016 10:00 - 05.01.2016 11:00","40.66"
"05.01.2016 11:00 - 05.01.2016 12:00","40.33"
"05.01.2016 12:00 - 05.01.2016 13:00","38.25"
"05.01.2016 13:00 - 05.01.2016 14:00","36.98"
"05.01.2016 14:00 - 05.01.2016 15:00","34.91"
"05.01.2016 15:00 - 05.01.2016 16:00","33.50"
"05.01.2016 16:00 - 05.01.2016 17:00","35.10"
"05.01.2016 17:00 - 05.01.2016 18:00","42.44"
"05.01.2016 18:00 - 05.01.2016 19:00","42.94"
"05.01.2016 19:00 - 05.01.2016 20:00","40.50"
"05.01.2016 20:00 - 05.01.2016 21:00","34.49"
"05.01.2016 21:00 - 05.01.2016 22:00","31.43"
"05.01.2016 22:00 - 05.01.2016 23:00","30.54"
"05.01.2016 23:00 - 06.01.2016 00:00","26.99"
"06.01.2016 00:00 - 06.01.2016 01:00","26.62"
"06.01.2016 01:00 - 06.01.2016 02:00","25.58"
"06.01.2016 02:00 - 06.01.2016 03:00","24.59"
"06.01.2016 03:00 - 06.01.2016 04:00","22.50"
"06.01.2016 04:00 - 06.01.2016 05:00","23.16"
"06.01.2016 05:00 - 06.01.2016 06:00","24.99"
"06.01.2016 06:00 - 06.01.2016 07:00","26.62"
"06.01.2016 07:00 - 06.01.2016 08:00","28.03"
"06.01.2016 08:00 - 06.01.2016 09:00","30.82"
"06.01.2016 09:00 - 06.01.2016 10:00","34.22"
"06.01.2016 10:00 - 06.01.2016 11:00","37.90"
"06.01.2016 11:00 - 06.01.2016 12:00","40.08"
"06.01.2016 12:00 - 06.01.2016 13:00","40.73"
"06.01.2016 13:00 - 06.01.2016 14:00","38.26"
"06.01.2016 14:00 - 06.01.2016 15:00","35.44"
"06.01.2016 15:00 - 06.01.2016 16:00","36.92"
"06.01.2016 16:00 - 06.01.2016 17:00","41.28"
"06.01.2016 17:00 - 06.01.2016 18:00","44.95"
"06.01.2016 18:00 - 06.01.2016 19:00","46.90"
"06.01.2016 19:00 - 06.01.2016 20:00","43.95"
"06.01.2016 20:00 - 06.01.2016 21:00","39.94"
"06.01.2016 21:00 - 06.01.2016 22:00","32.40"
"06.01.2016 22:00 - 06.01.2016 23:00","33.51"
"06.01.2016 23:00 - 07.01.2016 00:00","30.11"
"07.01.2016 00:00 - 07.01.2016 01:00","26.41"
"07.01.2016 01:00 - 07.01.2016 02:00","26.05"
"07.01.2016 02:00 - 07.01.2016 03:00","24.93"
"07.01.2016 03:00 - 07.01.2016 04:00","22.39"
"07.01.2016 04:00 - 07.01.2016 05:00","22.32"
"07.01.2016 05:00 - 07.01.2016 06:00","24.20"
"07.01.2016 06:00 - 07.01.2016 07:00","31.00"
"07.01.2016 07:00 - 07.01.2016 08:00","42.47"
"07.01.2016 08:00 - 07.01.2016 09:00","42.97"
"07.01.2016 09:00 - 07.01.2016 10:00","41.93"
"07.01.2016 10:00 - 07.01.2016 11:00","41.62"
"07.01.2016 11:00 - 07.01.2016 12:00","41.50"
"07.01.2016 12:00 - 07.01.2016 13:00","40.66"
"07.01.2016 13:00 - 07.01.2016 14:00","40.33"
"07.01.2016 14:00 - 07.01.2016 15:00","36.51"
"07.01.2016 15:00 - 07.01.2016 16:00","33.49"
"07.01.2016 16:00 - 07.01.2016 17:00","34.19"
"07.01.2016 17:00 - 07.01.2016 18:00","40.66"
"07.01.2016 18:00 - 07.01.2016 19:00","40.80"
"07.01.2016 19:00 - 07.01.2016 20:00","37.19"
"07.01.2016 20:00 - 07.01.2016 21:00","31.94"
"07.01.2016 21:00 - 07.01.2016 22:00","32.44"
"07.01.2016 22:00 - 07.01.2016 23:00","31.35"
"07.01.2016 23:00 - 08.01.2016 00:00","29.94"
"08.01.2016 00:00 - 08.01.2016 01:00","12.12"
"08.01.2016 01:00 - 08.01.2016 02:00","20.82"
"08.01.2016 02:00 - 08.01.2016 03:00","20.43"
"08.01.2016 03:00 - 08.01.2016 04:00","20.02"
"08.01.2016 04:00 - 08.01.2016 05:00","18.01"
"08.01.2016 05:00 - 08.01.2016 06:00","19.68"
"08.01.2016 06:00 - 08.01.2016 07:00","24.28"
"08.01.2016 07:00 - 08.01.2016 08:00","33.00"
"08.01.2016 08:00 - 08.01.2016 09:00","46.13"
"08.01.2016 09:00 - 08.01.2016 10:00","35.00"
"08.01.2016 10:00 - 08.01.2016 11:00","33.00"
"08.01.2016 11:00 - 08.01.2016 12:00","36.91"
"08.01.2016 12:00 - 08.01.2016 13:00","36.13"
"08.01.2016 13:00 - 08.01.2016 14:00","36.13"
"08.01.2016 14:00 - 08.01.2016 15:00","28.52"
"08.01.2016 15:00 - 08.01.2016 16:00","32.08"
"08.01.2016 16:00 - 08.01.2016 17:00","37.16"
"08.01.2016 17:00 - 08.01.2016 18:00","45.00"
"08.01.2016 18:00 - 08.01.2016 19:00","46.97"
"08.01.2016 19:00 - 08.01.2016 20:00","40.09"
"08.01.2016 20:00 - 08.01.2016 21:00","34.61"
"08.01.2016 21:00 - 08.01.2016 22:00","31.52"
"08.01.2016 22:00 - 08.01.2016 23:00","32.50"
"08.01.2016 23:00 - 09.01.2016 00:00","28.00"
"09.01.2016 00:00 - 09.01.2016 01:00","26.10"
"09.01.2016 01:00 - 09.01.2016 02:00","25.10"
"09.01.2016 02:00 - 09.01.2016 03:00","24.30"
"09.01.2016 03:00 - 09.01.2016 04:00","23.23"
"09.01.2016 04:00 - 09.01.2016 05:00","21.96"
"09.01.2016 05:00 - 09.01.2016 06:00","22.45"
"09.01.2016 06:00 - 09.01.2016 07:00","23.07"
"09.01.2016 07:00 - 09.01.2016 08:00","25.00"
"09.01.2016 08:00 - 09.01.2016 09:00","32.11"
"09.01.2016 09:00 - 09.01.2016 10:00","37.12"
"09.01.2016 10:00 - 09.01.2016 11:00","36.13"
"09.01.2016 11:00 - 09.01.2016 12:00","35.76"
"09.01.2016 12:00 - 09.01.2016 13:00","34.06"
"09.01.2016 13:00 - 09.01.2016 14:00","31.54"
"09.01.2016 14:00 - 09.01.2016 15:00","27.92"
"09.01.2016 15:00 - 09.01.2016 16:00","27.00"
"09.01.2016 16:00 - 09.01.2016 17:00","30.50"
"09.01.2016 17:00 - 09.01.2016 18:00","36.99"
"09.01.2016 18:00 - 09.01.2016 19:00","36.80"
"09.01.2016 19:00 - 09.01.2016 20:00","35.00"
"09.01.2016 20:00 - 09.01.2016 21:00","29.00"
"09.01.2016 21:00 - 09.01.2016 22:00","25.01"
"09.01.2016 22:00 - 09.01.2016 23:00","25.10"
"09.01.2016 23:00 - 10.01.2016 00:00","22.28"
"10.01.2016 00:00 - 10.01.2016 01:00","15.58"
"10.01.2016 01:00 - 10.01.2016 02:00","19.05"
"10.01.2016 02:00 - 10.01.2016 03:00","17.24"
"10.01.2016 03:00 - 10.01.2016 04:00","12.75"
"10.01.2016 04:00 - 10.01.2016 05:00","10.81"
"10.01.2016 05:00 - 10.01.2016 06:00","10.85"
"10.01.2016 06:00 - 10.01.2016 07:00","9.85"
"10.01.2016 07:00 - 10.01.2016 08:00","18.66"
"10.01.2016 08:00 - 10.01.2016 09:00","18.87"
"10.01.2016 09:00 - 10.01.2016 10:00","20.82"
"10.01.2016 10:00 - 10.01.2016 11:00","21.65"
"10.01.2016 11:00 - 10.01.2016 12:00","22.80"
"10.01.2016 12:00 - 10.01.2016 13:00","27.00"
"10.01.2016 13:00 - 10.01.2016 14:00","22.80"
"10.01.2016 14:00 - 10.01.2016 15:00","22.44"
