"MTU","Scheduled Generation [MW] (D) - BZN|BE","Scheduled Consumption [MW] (D) - BZN|BE"
"01.01.2019 00:00 - 01.01.2019 01:00 (UTC)","6493",""
"01.01.2019 01:00 - 01.01.2019 02:00 (UTC)","6441",""
"01.01.2019 02:00 - 01.01.2019 03:00 (UTC)","5922",""
"01.01.2019 03:00 - 01.01.2019 04:00 (UTC)","5755",""
"01.01.2019 04:00 - 01.01.2019 05:00 (UTC)","6012",""
"01.01.2019 05:00 - 01.01.2019 06:00 (UTC)","6283",""
"01.01.2019 06:00 - 01.01.2019 07:00 (UTC)","6755",""
"01.01.2019 07:00 - 01.01.2019 08:00 (UTC)","6811",""
"01.01.2019 08:00 - 01.01.2019 09:00 (UTC)","6890",""
"01.01.2019 09:00 - 01.01.2019 10:00 (UTC)","7117",""
"01.01.2019 10:00 - 01.01.2019 11:00 (UTC)","7417",""
"01.01.2019 11:00 - 01.01.2019 12:00 (UTC)","7746",""
"01.01.2019 12:00 - 01.01.2019 13:00 (UTC)","7430",""
"01.01.2019 13:00 - 01.01.2019 14:00 (UTC)","7296",""
"01.01.2019 14:00 - 01.01.2019 15:00 (UTC)","7323",""
"01.01.2019 15:00 - 01.01.2019 16:00 (UTC)","7472",""
"01.01.2019 16:00 - 01.01.2019 17:00 (UTC)","7817",""
"01.01.2019 17:00 - 01.01.2019 18:00 (UTC)","7937",""
"01.01.2019 18:00 - 01.01.2019 19:00 (UTC)","7989",""
"01.01.2019 19:00 - 01.01.2019 20:00 (UTC)","7907",""
"01.01.2019 20:00 - 01.01.2019 21:00 (UTC)","7930",""
"01.01.2019 21:00 - 01.01.2019 22:00 (UTC)","7904",""
"01.01.2019 22:00 - 01.01.2019 23:00 (UTC)","7968",""
"01.01.2019 23:00 - 02.01.2019 00:00 (UTC)","8057",""
"02.01.2019 00:00 - 02.01.2019 01:00 (UTC)","7972",""
"02.01.2019 01:00 - 02.01.2019 02:00 (UTC)","7319",""
"02.01.2019 02:00 - 02.01.2019 03:00 (UTC)","7392",""
"02.01.2019 03:00 - 02.01.2019 04:00 (UTC)","7489",""
"02.01.2019 04:00 - 02.01.2019 05:00 (UTC)","8369",""
"02.01.2019 05:00 - 02.01.2019 06:00 (UTC)","9137",""
"02.01.2019 06:00 - 02.01.2019 07:00 (UTC)","9473",""
"02.01.2019 07:00 - 02.01.2019 08:00 (UTC)","9801",""
"02.01.2019 08:00 - 02.01.2019 09:00 (UTC)","10233",""
"02.01.2019 09:00 - 02.01.2019 10:00 (UTC)","10481",""
"02.01.2019 10:00 - 02.01.2019 11:00 (UTC)","10579",""
