"MTU","Scheduled Generation [MW] (D) - BZN|FR","Scheduled Consumption [MW] (D) - BZN|FR"
"01.01.2017 00:00 - 01.01.2017 01:00 (UTC)","69539",""
"01.01.2017 01:00 - 01.01.2017 02:00 (UTC)","67376",""
"01.01.2017 02:00 - 01.01.2017 03:00 (UTC)","65412",""
"01.01.2017 03:00 - 01.01.2017 04:00 (UTC)","64557",""
"01.01.2017 04:00 - 01.01.2017 05:00 (UTC)","64552",""
"01.01.2017 05:00 - 01.01.2017 06:00 (UTC)","64695",""
"01.01.2017 06:00 - 01.01.2017 07:00 (UTC)","64956",""
"01.01.2017 07:00 - 01.01.2017 08:00 (UTC)","64938",""
"01.01.2017 08:00 - 01.01.2017 09:00 (UTC)","65526",""
"01.01.2017 09:00 - 01.01.2017 10:00 (UTC)","66426",""
"01.01.2017 10:00 - 01.01.2017 11:00 (UTC)","67533",""
"01.01.2017 11:00 - 01.01.2017 12:00 (UTC)","68066",""
"01.01.2017 12:00 - 01.01.2017 13:00 (UTC)","68120",""
"01.01.2017 13:00 - 01.01.2017 14:00 (UTC)","65870",""
"01.01.2017 14:00 - 01.01.2017 15:00 (UTC)","64558",""
"01.01.2017 15:00 - 01.01.2017 16:00 (UTC)","65023",""
"01.01.2017 16:00 - 01.01.2017 17:00 (UTC)","66742",""
"01.01.2017 17:00 - 01.01.2017 18:00 (UTC)","69175",""
"01.01.2017 18:00 - 01.01.2017 19:00 (UTC)","70434",""
"01.01.2017 19:00 - 01.01.2017 20:00 (UTC)","69171",""
"01.01.2017 20:00 - 01.01.2017 21:00 (UTC)","68694",""
"01.01.2017 21:00 - 01.01.2017 22:00 (UTC)","68900",""
"01.01.2017 22:00 - 01.01.2017 23:00 (UTC)","69063",""
"01.01.2017 23:00 - 02.01.2017 00:00 (UTC)","67873",""
"02.01.2017 00:00 - 02.01.2017 01:00 (UTC)","66568",""
"02.01.2017 01:00 - 02.01.2017 02:00 (UTC)","65962",""
"02.01.2017 02:00 - 02.01.2017 03:00 (UTC)","65838",""
"02.01.2017 03:00 - 02.01.2017 04:00 (UTC)","65653",""
"02.01.2017 04:00 - 02.01.2017 05:00 (UTC)","65989",""
"02.01.2017 05:00 - 02.01.2017 06:00 (UTC)","67471",""
"02.01.2017 06:00 - 02.01.2017 07:00 (UTC)","70379",""
