"MTU","Scheduled Generation [MW] (D) - BZN|DE-AT-LU","Scheduled Consumption [MW] (D) - BZN|DE-AT-LU"
"01.01.2016 00:00 - 01.01.2016 01:00 (UTC)","53274","0"
"01.01.2016 01:00 - 01.01.2016 02:00 (UTC)","52414","0"
"01.01.2016 02:00 - 01.01.2016 03:00 (UTC)","52247","0"
"01.01.2016 03:00 - 01.01.2016 04:00 (UTC)","50178","0"
"01.01.2016 04:00 - 01.01.2016 05:00 (UTC)","49926","0"
"01.01.2016 05:00 - 01.01.2016 06:00 (UTC)","49044","0"
"01.01.2016 06:00 - 01.01.2016 07:00 (UTC)","50834","0"
"01.01.2016 07:00 - 01.01.2016 08:00 (UTC)","52848","0"
"01.01.2016 08:00 - 01.01.2016 09:00 (UTC)","55202","0"
"01.01.2016 09:00 - 01.01.2016 10:00 (UTC)","57826","0"
"01.01.2016 10:00 - 01.01.2016 11:00 (UTC)","60584","0"
"01.01.2016 11:00 - 01.01.2016 12:00 (UTC)","61279","0"
"01.01.2016 12:00 - 01.01.2016 13:00 (UTC)","58656","0"
"01.01.2016 13:00 - 01.01.2016 14:00 (UTC)","55336","0"
"01.01.2016 14:00 - 01.01.2016 15:00 (UTC)","52714","0"
"01.01.2016 15:00 - 01.01.2016 16:00 (UTC)","53644","0"
"01.01.2016 16:00 - 01.01.2016 17:00 (UTC)","57158","0"
"01.01.2016 17:00 - 01.01.2016 18:00 (UTC)","57598","0"
"01.01.2016 18:00 - 01.01.2016 19:00 (UTC)","58275","0"
"01.01.2016 19:00 - 01.01.2016 20:00 (UTC)","58306","0"
"01.01.2016 20:00 - 01.01.2016 21:00 (UTC)","56597","0"
"01.01.2016 21:00 - 01.01.2016 22:00 (UTC)","56252","0"
"01.01.2016 22:00 - 01.01.2016 23:00 (UTC)","54280","0"
"01.01.2016 23:00 - 02.01.2016 00:00 (UTC)","55034","0"
"02.01.2016 00:00 - 02.01.2016 01:00 (UTC)","53692","0"
"02.01.2016 01:00 - 02.01.2016 02:00 (UTC)","52831","0"
"02.01.2016 02:00 - 02.01.2016 03:00 (UTC)","51504","0"
"02.01.2016 03:00 - 02.01.2016 04:00 (UTC)","51693","0"
"02.01.2016 04:00 - 02.01.2016 05:00 (UTC)","53794","0"
"02.01.2016 05:00 - 02.01.2016 06:00 (UTC)","55788","0"
"02.01.2016 06:00 - 02.01.2016 07:00 (UTC)","61576","0"
"02.01.2016 07:00 - 02.01.2016 08:00 (UTC)","65083","0"
"02.01.2016 08:00 - 02.01.2016 09:00 (UTC)","69162","0"
"02.01.2016 09:00 - 02.01.2016 10:00 (UTC)","71369","0"
"02.01.2016 10:00 - 02.01.2016 11:00 (UTC)","72717","0"
"02.01.2016 11:00 - 02.01.2016 12:00 (UTC)","73098","0"
"02.01.2016 12:00 - 02.01.2016 13:00 (UTC)","72124","0"
"02.01.2016 13:00 - 02.01.2016 14:00 (UTC)","70107","0"
"02.01.2016 14:00 - 02.01.2016 15:00 (UTC)","68750","0"
"02.01.2016 15:00 - 02.01.2016 16:00 (UTC)","69787","0"
"02.01.2016 16:00 - 02.01.2016 17:00 (UTC)","72679","0"
"02.01.2016 17:00 - 02.01.2016 18:00 (UTC)","73943","0"
"02.01.2016 18:00 - 02.01.2016 19:00 (UTC)","73429","0"
"02.01.2016 19:00 - 02.01.2016 20:00 (UTC)","70107","0"
"02.01.2016 20:00 - 02.01.2016 21:00 (UTC)","67657","0"
"02.01.2016 21:00 - 02.01.2016 22:00 (UTC)","66714","0"
"02.01.2016 22:00 - 02.01.2016 23:00 (UTC)","63846","0"
"02.01.2016 23:00 - 03.01.2016 00:00 (UTC)","61154","0"
"03.01.2016 00:00 - 03.01.2016 01:00 (UTC)","60108","0"
"03.01.2016 01:00 - 03.01.2016 02:00 (UTC)","58858","0"
"03.01.2016 02:00 - 03.01.2016 03:00 (UTC)","58873","0"
"03.01.2016 03:00 - 03.01.2016 04:00 (UTC)","58466","0"
"03.01.2016 04:00 - 03.01.2016 05:00 (UTC)","58630","0"
"03.01.2016 05:00 - 03.01.2016 06:00 (UTC)","59324","0"
"03.01.2016 06:00 - 03.01.2016 07:00 (UTC)","60647","0"
"03.01.2016 07:00 - 03.01.2016 08:00 (UTC)","63477","0"
"03.01.2016 08:00 - 03.01.2016 09:00 (UTC)","66597","0"
"03.01.2016 09:00 - 03.01.2016 10:00 (UTC)","69618","0"
"03.01.2016 10:00 - 03.01.2016 11:00 (UTC)","71445","0"
"03.01.2016 11:00 - 03.01.2016 12:00 (UTC)","71703","0"
