"MTU","Scheduled Generation [MW] (D) - BZN|NL","Scheduled Consumption [MW] (D) - BZN|NL"
"01.01.2017 00:00 - 01.01.2017 01:00 (UTC)","13810",""
"01.01.2017 01:00 - 01.01.2017 02:00 (UTC)","13534",""
"01.01.2017 02:00 - 01.01.2017 03:00 (UTC)","13161",""
"01.01.2017 03:00 - 01.01.2017 04:00 (UTC)","13216",""
"01.01.2017 04:00 - 01.01.2017 05:00 (UTC)","13333",""
"01.01.2017 05:00 - 01.01.2017 06:00 (UTC)","13462",""
"01.01.2017 06:00 - 01.01.2017 07:00 (UTC)","13787",""
"01.01.2017 07:00 - 01.01.2017 08:00 (UTC)","14368",""
"01.01.2017 08:00 - 01.01.2017 09:00 (UTC)","15085",""
"01.01.2017 09:00 - 01.01.2017 10:00 (UTC)","15276",""
"01.01.2017 10:00 - 01.01.2017 11:00 (UTC)","15141",""
"01.01.2017 11:00 - 01.01.2017 12:00 (UTC)","15083",""
"01.01.2017 12:00 - 01.01.2017 13:00 (UTC)","15226",""
"01.01.2017 13:00 - 01.01.2017 14:00 (UTC)","15434",""
"01.01.2017 14:00 - 01.01.2017 15:00 (UTC)","16242",""
"01.01.2017 15:00 - 01.01.2017 16:00 (UTC)","16728",""
"01.01.2017 16:00 - 01.01.2017 17:00 (UTC)","17077",""
"01.01.2017 17:00 - 01.01.2017 18:00 (UTC)","17453",""
"01.01.2017 18:00 - 01.01.2017 19:00 (UTC)","17053",""
"01.01.2017 19:00 - 01.01.2017 20:00 (UTC)","17052",""
"01.01.2017 20:00 - 01.01.2017 21:00 (UTC)","17373",""
"01.01.2017 21:00 - 01.01.2017 22:00 (UTC)","17127",""
"01.01.2017 22:00 - 01.01.2017 23:00 (UTC)","16765",""
"01.01.2017 23:00 - 02.01.2017 00:00 (UTC)","16416",""
"02.01.2017 00:00 - 02.01.2017 01:00 (UTC)","15832",""
"02.01.2017 01:00 - 02.01.2017 02:00 (UTC)","15582",""
