"MTU","Scheduled Generation [MW] (D) - BZN|ES","Scheduled Consumption [MW] (D) - BZN|ES"
"01.01.2019 00:00 - 01.01.2019 01:00 (UTC)","19558","106"
"01.01.2019 01:00 - 01.01.2019 02:00 (UTC)","18586","139"
"01.01.2019 02:00 - 01.01.2019 03:00 (UTC)","17664","206"
"01.01.2019 03:00 - 01.01.2019 04:00 (UTC)","17405","262"
"01.01.2019 04:00 - 01.01.2019 05:00 (UTC)","17518","331"
"01.01.2019 05:00 - 01.01.2019 06:00 (UTC)","17525","299"
"01.01.2019 06:00 - 01.01.2019 07:00 (UTC)","17575","158"
"01.01.2019 07:00 - 01.01.2019 08:00 (UTC)","17750","158"
"01.01.2019 08:00 - 01.01.2019 09:00 (UTC)","18303","158"
"01.01.2019 09:00 - 01.01.2019 10:00 (UTC)","19581","53"
"01.01.2019 10:00 - 01.01.2019 11:00 (UTC)","20859","9"
"01.01.2019 11:00 - 01.01.2019 12:00 (UTC)","21770","53"
"01.01.2019 12:00 - 01.01.2019 13:00 (UTC)","21871","0"
"01.01.2019 13:00 - 01.01.2019 14:00 (UTC)","21819","53"
"01.01.2019 14:00 - 01.01.2019 15:00 (UTC)","21165","53"
"01.01.2019 15:00 - 01.01.2019 16:00 (UTC)","20493","0"
"01.01.2019 16:00 - 01.01.2019 17:00 (UTC)","20330","0"
"01.01.2019 17:00 - 01.01.2019 18:00 (UTC)","20985","0"
"01.01.2019 18:00 - 01.01.2019 19:00 (UTC)","21760","0"
"01.01.2019 19:00 - 01.01.2019 20:00 (UTC)","22531","0"
"01.01.2019 20:00 - 01.01.2019 21:00 (UTC)","23395","0"
"01.01.2019 21:00 - 01.01.2019 22:00 (UTC)","23301","0"
"01.01.2019 22:00 - 01.01.2019 23:00 (UTC)","22894","0"
"01.01.2019 23:00 - 02.01.2019 00:00 (UTC)","21546","53"
"02.01.2019 00:00 - 02.01.2019 01:00 (UTC)","20750","58"
"02.01.2019 01:00 - 02.01.2019 02:00 (UTC)","21494","1860"
"02.01.2019 02:00 - 02.01.2019 03:00 (UTC)","21574","2491"
"02.01.2019 03:00 - 02.01.2019 04:00 (UTC)","22109","3131"
"02.01.2019 04:00 - 02.01.2019 05:00 (UTC)","22737","2993"
"02.01.2019 05:00 - 02.01.2019 06:00 (UTC)","22844","287"
"02.01.2019 06:00 - 02.01.2019 07:00 (UTC)","23664","53"
"02.01.2019 07:00 - 02.01.2019 08:00 (UTC)","25248","0"
"02.01.2019 08:00 - 02.01.2019 09:00 (UTC)","27109","0"
"02.01.2019 09:00 - 02.01.2019 10:00 (UTC)","28555","0"
"02.01.2019 10:00 - 02.01.2019 11:00 (UTC)","29418","0"
"02.01.2019 11:00 - 02.01.2019 12:00 (UTC)","29533","0"
"02.01.2019 12:00 - 02.01.2019 13:00 (UTC)","29525","0"
"02.01.2019 13:00 - 02.01.2019 14:00 (UTC)","28866","0"
"02.01.2019 14:00 - 02.01.2019 15:00 (UTC)","28362","0"
"02.01.2019 15:00 - 02.01.2019 16:00 (UTC)","27575","0"
"02.01.2019 16:00 - 02.01.2019 17:00 (UTC)","27697","0"
"02.01.2019 17:00 - 02.01.2019 18:00 (UTC)","28749","0"
"02.01.2019 18:00 - 02.01.2019 19:00 (UTC)","28703","0"
"02.01.2019 19:00 - 02.01.2019 20:00 (UTC)","27482","0"
"02.01.2019 20:00 - 02.01.2019 21:00 (UTC)","27118","0"
"02.01.2019 21:00 - 02.01.2019 22:00 (UTC)","26038","0"
"02.01.2019 22:00 - 02.01.2019 23:00 (UTC)","24824","0"
"02.01.2019 23:00 - 03.01.2019 00:00 (UTC)","22933","0"
"03.01.2019 00:00 - 03.01.2019 01:00 (UTC)","21563","104"
"03.01.2019 01:00 - 03.01.2019 02:00 (UTC)","20840","52"
"03.01.2019 02:00 - 03.01.2019 03:00 (UTC)","20350","104"
"03.01.2019 03:00 - 03.01.2019 04:00 (UTC)","20141","104"
"03.01.2019 04:00 - 03.01.2019 05:00 (UTC)","20296","101"
"03.01.2019 05:00 - 03.01.2019 06:00 (UTC)","21511","104"
"03.01.2019 06:00 - 03.01.2019 07:00 (UTC)","24471","0"
"03.01.2019 07:00 - 03.01.2019 08:00 (UTC)","27181","0"
"03.01.2019 08:00 - 03.01.2019 09:00 (UTC)","29910","0"
"03.01.2019 09:00 - 03.01.2019 10:00 (UTC)","30529","0"
"03.01.2019 10:00 - 03.01.2019 11:00 (UTC)","30070","0"
"03.01.2019 11:00 - 03.01.2019 12:00 (UTC)","30209","0"
"03.01.2019 12:00 - 03.01.2019 13:00 (UTC)","29859","0"
"03.01.2019 13:00 - 03.01.2019 14:00 (UTC)","29917","0"
"03.01.2019 14:00 - 03.01.2019 15:00 (UTC)","30061","0"
"03.01.2019 15:00 - 03.01.2019 16:00 (UTC)","30403","0"
"03.01.2019 16:00 - 03.01.2019 17:00 (UTC)","30024","0"
"03.01.2019 17:00 - 03.01.2019 18:00 (UTC)","30896","0"
"03.01.2019 18:00 - 03.01.2019 19:00 (UTC)","30679","0"
"03.01.2019 19:00 - 03.01.2019 20:00 (UTC)","28861","0"
"03.01.2019 20:00 - 03.01.2019 21:00 (UTC)","28168","0"
"03.01.2019 21:00 - 03.01.2019 22:00 (UTC)","27072","0"
"03.01.2019 22:00 - 03.01.2019 23:00 (UTC)","25224","0"
"03.01.2019 23:00 - 04.01.2019 00:00 (UTC)","23741","0"
"04.01.2019 00:00 - 04.01.2019 01:00 (UTC)","22614","0"
"04.01.2019 01:00 - 04.01.2019 02:00 (UTC)","21159","52"
"04.01.2019 02:00 - 04.01.2019 03:00 (UTC)","20613","52"
"04.01.2019 03:00 - 04.01.2019 04:00 (UTC)","20441","52"
"04.01.2019 04:00 - 04.01.2019 05:00 (UTC)","20830","52"
"04.01.2019 05:00 - 04.01.2019 06:00 (UTC)","22436","52"
"04.01.2019 06:00 - 04.01.2019 07:00 (UTC)","26467","0"
"04.01.2019 07:00 - 04.01.2019 08:00 (UTC)","31090","0"
"04.01.2019 08:00 - 04.01.2019 09:00 (UTC)","32868","0"
"04.01.2019 09:00 - 04.01.2019 10:00 (UTC)","33841","0"
"04.01.2019 10:00 - 04.01.2019 11:00 (UTC)","34033","0"
"04.01.2019 11:00 - 04.01.2019 12:00 (UTC)","34161","0"
"04.01.2019 12:00 - 04.01.2019 13:00 (UTC)","33487","0"
"04.01.2019 13:00 - 04.01.2019 14:00 (UTC)","32989","0"
"04.01.2019 14:00 - 04.01.2019 15:00 (UTC)","31563","0"
"04.01.2019 15:00 - 04.01.2019 16:00 (UTC)","30982","0"
"04.01.2019 16:00 - 04.01.2019 17:00 (UTC)","31534","0"
"04.01.2019 17:00 - 04.01.2019 18:00 (UTC)","32662","0"
"04.01.2019 18:00 - 04.01.2019 19:00 (UTC)","33170","0"
"04.01.2019 19:00 - 04.01.2019 20:00 (UTC)","32189","0"
"04.01.2019 20:00 - 04.01.2019 21:00 (UTC)","29501","0"
"04.01.2019 21:00 - 04.01.2019 22:00 (UTC)","29257","0"
"04.01.2019 22:00 - 04.01.2019 23:00 (UTC)","26059","0"
"04.01.2019 23:00 - 05.01.2019 00:00 (UTC)","23289","0"
"05.01.2019 00:00 - 05.01.2019 01:00 (UTC)","22275","0"
"05.01.2019 01:00 - 05.01.2019 02:00 (UTC)","20869","0"
"05.01.2019 02:00 - 05.01.2019 03:00 (UTC)","20095","0"
"05.01.2019 03:00 - 05.01.2019 04:00 (UTC)","19776","0"
"05.01.2019 04:00 - 05.01.2019 05:00 (UTC)","19877","77"
