;load_VE_austria;load_VE_belgium;load_VE_switzerland;load_VE_germany;load_VE_danemark;load_VE_spain;load_VE_france;load_VE_england;load_VE_ireland;load_VE_italy;load_VE_luxembourg;load_VE_netherlands;load_VE_norway;load_VE_portugal;load_VE_sweden;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;hour00;hour01;hour02;hour03;hour04;hour05;hour06;hour07;hour08;hour09;hour10;hour11;hour12;hour13;hour14;hour15;hour16;hour17;hour18;hour19;hour20;hour21;hour22;hour23
load_VE_austria;1;0.896292051;0.726059835;0.927252924;0.891250551;0.785769969;0.769952081;0.742933636;0.723748705;0.797019021;0.566473018;0.87009703;0.683589392;0.716836242;0.764637164;0.074929897;0.123739721;0.138170187;0.118123336;0.073814153;-0.195942925;-0.33321966;0.216641469;0.206290725;0.103332882;-0.092353404;-0.151662996;-0.121892372;-0.139373693;-0.130443992;-0.072803639;-0.012504287;0.103255125;0.119585013;-0.20718653;-0.231149761;-0.243981205;-0.214444463;-0.128902634;-0.012115475;0.081655307;0.117811145;0.136510968;0.152724674;0.145665344;0.124329502;0.100331173;0.085285927;0.077734385;0.083103487;0.109404279;0.112717929;0.082138492;0.026892556;-0.02200646;-0.072285397;-0.125654109;-0.177133881
load_VE_belgium;0.896292051;1;0.722797466;0.895015565;0.851268521;0.795056063;0.834776503;0.834238634;0.762915237;0.753165373;0.646066004;0.83957981;0.698184113;0.772714958;0.775216313;0.049076368;0.121202945;0.127427648;0.121665581;0.089146785;-0.194721102;-0.314133368;0.265761635;0.221634732;0.097926018;-0.074063343;-0.143461486;-0.121362985;-0.195987213;-0.150833272;-0.068400405;-0.002499873;0.096443761;0.099705453;-0.185516311;-0.222934177;-0.239997383;-0.227226681;-0.175663588;-0.074008403;0.020556541;0.083817761;0.118270107;0.135865687;0.139443698;0.124667172;0.101519935;0.081483086;0.068744144;0.068763585;0.094439497;0.115934504;0.098274655;0.053245269;0.011435163;-0.010988547;-0.052872281;-0.125663614
load_VE_switzerland;0.726059835;0.722797466;1;0.690270826;0.699687474;0.569473395;0.753484574;0.63177766;0.626557805;0.505562893;0.435135326;0.679954695;0.688976725;0.594301764;0.720040126;0.068758616;0.100603237;0.103907211;0.100519446;0.032008496;-0.18985565;-0.216197375;0.309987785;0.253528131;0.1222012;-0.114651719;-0.147406357;-0.139289636;-0.174619211;-0.225280143;-0.132379866;0.013417988;0.097001199;0.166328625;-0.112096893;-0.100378414;-0.099075242;-0.112777911;-0.114051105;-0.086693854;-0.021472898;0.050281996;0.089859081;0.115123504;0.140051134;0.112363519;0.103029094;0.096114474;0.075589167;0.056362814;0.037728085;0.041850116;0.038983724;0.007825094;-0.033313498;-0.067216003;-0.098520197;-0.118064137
load_VE_germany;0.927252924;0.895015565;0.690270826;1;0.897420547;0.852344855;0.664797938;0.764219556;0.752803904;0.862286502;0.615374172;0.870321948;0.557116331;0.764891545;0.663413859;0.078250335;0.152656913;0.164420186;0.142984451;0.092916216;-0.238199316;-0.393481166;0.136702821;0.13795887;0.070572344;-0.074004776;-0.103842363;-0.0767006;-0.07167541;-0.075606712;-0.044317626;-0.003911271;0.089994075;0.031031412;-0.235894123;-0.247633843;-0.244137513;-0.214991967;-0.145066647;-0.045734195;0.049360457;0.098608197;0.131824119;0.160765875;0.171578157;0.162092229;0.134371716;0.109993661;0.089517207;0.078800983;0.09748721;0.116239416;0.101818502;0.050436997;-0.005808491;-0.069083897;-0.143068023;-0.199697688
load_VE_danemark;0.891250551;0.851268521;0.699687474;0.897420547;1;0.728135956;0.676405186;0.756055417;0.718485391;0.745759735;0.48106344;0.838576489;0.681478764;0.643437509;0.770409455;0.073081894;0.110963867;0.114336525;0.104415652;0.027466231;-0.204597102;-0.22595229;0.19808355;0.169582133;0.107806862;-0.062841109;-0.104271426;-0.098624637;-0.187373795;-0.099002953;-0.068449697;-0.003008214;0.087742992;0.081958264;-0.252336212;-0.257872136;-0.254979465;-0.225185044;-0.137663199;-0.006916608;0.097508872;0.142628427;0.164102265;0.169880177;0.15363692;0.140074664;0.123473083;0.097136076;0.090754685;0.140522844;0.175814495;0.137583741;0.076592877;0.017297079;-0.046615771;-0.123866421;-0.189236901;-0.230739481
load_VE_spain;0.785769969;0.795056063;0.569473395;0.852344855;0.728135956;1;0.583969201;0.756493136;0.765106545;0.896125864;0.619433113;0.793543729;0.380519044;0.884145114;0.472646498;0.059953824;0.117033236;0.122892496;0.116966027;0.085953385;-0.171537598;-0.331616556;0.14946731;0.120066619;-0.005900329;-0.15440038;-0.154732897;-0.029603013;0.123514095;0.030474252;-0.015386119;-0.08800871;0.005962644;0.012498683;-0.209931315;-0.244944499;-0.263377598;-0.260142013;-0.21671624;-0.133855732;-0.032860279;0.049806848;0.107760225;0.141620067;0.157264072;0.161397138;0.142843011;0.103954201;0.079572011;0.066696574;0.061459599;0.083935418;0.127058643;0.159683786;0.11549417;0.020785039;-0.067838346;-0.147414209
load_VE_france;0.769952081;0.834776503;0.753484574;0.664797938;0.676405186;0.583969201;1;0.68823699;0.618122712;0.482141758;0.461849454;0.662269765;0.862276718;0.623463845;0.862370706;0.031736701;0.0793328;0.084735802;0.082665996;0.054522884;-0.126050945;-0.207171383;0.433388837;0.352042742;0.168024588;-0.095819052;-0.225640046;-0.233086601;-0.21434925;-0.268671685;-0.191358444;-0.073377086;0.136298196;0.242645032;-0.0862973;-0.120923236;-0.149272262;-0.141526563;-0.098639678;-0.033668806;0.023734763;0.058788899;0.075951126;0.084135026;0.09485544;0.083964041;0.059348195;0.02837154;0.001082359;-0.01038068;0.01454268;0.056569988;0.05451535;0.021917629;0.013765175;0.026564826;-0.003557663;-0.053010245
load_VE_england;0.742933636;0.834238634;0.63177766;0.764219556;0.756055417;0.756493136;0.68823699;1;0.853347483;0.661828122;0.54945102;0.763057554;0.620185733;0.799525745;0.679050774;0.028599494;0.062419844;0.064808828;0.059015152;0.041403161;-0.108576254;-0.147828481;0.188790972;0.197770269;0.133861003;-0.042011448;-0.109705651;-0.142941528;-0.155152691;-0.128448094;-0.091776269;-0.022129965;0.094915591;0.095900802;-0.202611357;-0.218177324;-0.249286866;-0.264547543;-0.271648255;-0.216272403;-0.095617501;0.022704564;0.08384571;0.113049309;0.129885792;0.13877391;0.13272462;0.117708752;0.104549127;0.113545129;0.151627622;0.180188226;0.175232755;0.148735605;0.100991267;0.029582701;-0.065571849;-0.157051369
load_VE_ireland;0.723748705;0.762915237;0.626557805;0.752803904;0.718485391;0.765106545;0.618122712;0.853347483;1;0.663712033;0.515073466;0.798175456;0.562154036;0.881906737;0.59701422;0.016800364;0.073236314;0.08396061;0.080536637;0.055972638;-0.112990219;-0.197743299;0.157560674;0.166676261;0.1028264;-0.023365409;-0.102123888;-0.123471621;-0.126823742;-0.119679724;-0.069918755;-0.019165731;0.090028571;0.086225684;-0.161925238;-0.220002845;-0.261286808;-0.280077117;-0.281322137;-0.265472273;-0.184399038;-0.048682946;0.055772244;0.096137614;0.125364429;0.138031715;0.146883063;0.131471387;0.113058214;0.113908256;0.14147971;0.193558598;0.200808856;0.171993965;0.135573129;0.074199691;-0.023892641;-0.108586823
load_VE_italy;0.797019021;0.753165373;0.505562893;0.862286502;0.745759735;0.896125864;0.482141758;0.661828122;0.663712033;1;0.604894151;0.787402196;0.302891072;0.757756352;0.419430156;0.042199104;0.123864974;0.144729945;0.142275196;0.112769987;-0.190619509;-0.375619543;0.056724386;0.07221568;-0.029147631;-0.1536113;-0.10787959;0.020402983;0.182754511;-0.038555009;0.029896604;-0.031647892;0.008953207;-0.013232286;-0.224371316;-0.240781242;-0.245426134;-0.230112804;-0.173449609;-0.066088709;0.045599307;0.112521423;0.135032039;0.134972291;0.10815481;0.081212635;0.081091332;0.090941664;0.100351379;0.105212031;0.124776079;0.151742546;0.15151114;0.106011187;0.028105342;-0.055610944;-0.130881744;-0.189013443
